year,season_length,days_operating,diadromous_fish_passed,log_diadromous_fish_passed,mean_flow,log_mean_flow
2021,66,59,6859,3.836260803,44445.45455,4.647827352
2019,31,20,404,2.606381365,79170.97,4.898565966
2018,35,15,495,2.694605199,67542.85714,4.829579428
2017,31,13,741,2.869818208,68519.35,4.835813234
2016,23,11,895,2.951823035,34569.57,4.538693978
2015,29,19,921,2.96425963,27820.69,4.444367897
2012,40,37,1493,3.174059808,48022.5,4.681444765
2011,24,15,3074,3.487703863,87112.5,4.940080478
2009,32,28,6723,3.827563111,37234.38,4.570944127
2008,40,34,2636,3.420945406,48250,4.683497318
2007,32,29,4432,3.646599752,33050,4.519171464
2006,45,37,3978,3.599664779,30631.11,4.486162735
2005,42,30,3896,3.590618948,21623.81,4.334932217
2004,16,14,3427,3.534914104,55262.5,4.742430528
2003,37,31,10002,4.00008685,42486.49,4.628250854
2002,47,31,9916,3.996336518,64389.36,4.808814108
2001,42,41,35120,4.545554507,20900,4.320146286
2000,38,34,33301,4.522457275,53265.79,4.726448373
1999,43,43,20031,4.301702631,24650.23,4.391820976
1998,41,34,12125,4.083681747,63114.63,4.800130041
1997,44,44,146360,5.165422401,30722.73,4.487459804
1996,36,28,12345,4.091491094,54922.22,4.739748083
1995,70,68,114888,5.060274669,26638.57,4.425510908
1994,47,47,8289,3.91850214,30870.21,4.489539584
1993,45,45,9967,3.998564458,28466.67,4.454336667
1992,72,64,41588,4.618968035,43966.67,4.643123574
1991,68,63,31715,4.501264716,37407.5,4.572958685
1990,83,72,26124,4.417039675,48069.88,4.681873038
1989,75,53,13852,4.141512483,68898.67,4.838210838
1988,79,60,20515,4.312071521,41835.44,4.621544341
1987,73,60,13920,4.143639235,50654.79,4.704620519
1986,73,59,14389,4.158030613,39515.07,4.596762756
1985,75,55,8695,3.939269586,33329.33,4.522826583
